rank,name,year,rating
1,Kod Adi K.O.Z.,2015,1.5
2,Saving Christmas,2014,1.5
3,Superbabies: Baby Geniuses 2,2004,1.6
4,Daniel der Zauberer,2004,1.6
5,Manos: The Hands of Fate,1966,1.7
6,Pledge This!,2006,1.7
7,Dünyayi Kurtaran Adam'in Oglu,2006,1.8
8,Birdemic: Shock and Terror,2010,1.8
9,Titanic - La leggenda continua,2000,1.8
10,Álom.net,2009,1.9
11,Zombie Nation,2004,1.9
12,Disaster Movie,2008,1.9
13,From Justin to Kelly,2003,1.9
14,The Hottie & the Nottie,2008,1.9
15,Foodfight!,2012,1.9
16,Kis Vuk,2008,1.9
17,Keloglan Karaprens'e Karsi,2006,1.9
18,Ram Gopal Varma Ki Aag,2007,1.9
19,Ben & Arthur,2002,1.9
20,Going Overboard,1989,2
21,Emret Komutanim: Sah Mat,2007,2
22,Jurassic Shark,2012,2
23,La leggenda del Titanic,1999,2
24,Monster a-Go Go,1965,2
25,House of the Dead,2003,2.1
26,Who's Your Caddy?,2007,2.1
27,Himmatwala,2013,2.1
28,Kartoffelsalat,2015,2.1
29,Birdemic 2: The Resurrection,2013,2.1
30,Hobgoblins,1988,2.1
31,Glitter,2001,2.2
32,Son of the Mask,2005,2.2
33,Crossover,2006,2.2
34,The Beast of Yucca Flats,1961,2.2
35,Space Mutiny,1988,2.2
36,Humshakals,2014,2.2
37,Night Train to Mundo Fine,1966,2.3
38,Los nuevos extraterrestres,1983,2.3
39,Surf School,2006,2.3
40,The Wild World of Batwoman,1966,2.3
41,Dracula 3000,2004,2.3
42,Epic Movie,2007,2.3
43,Alone in the Dark,2005,2.4
44,Final Justice,1985,2.4
45,Leonard Part 6,1987,2.4
46,The Starfighters,1964,2.4
47,Die Hard Dracula,1998,2.4
48,Eegah,1962,2.4
49,Gigli,2003,2.4
50,L'uomo puma,1980,2.5
51,Track of the Moon Beast,1976,2.5
52,Battlefield Earth,2000,2.5
53,Anne B. Real,2003,2.5
54,Girl in Gold Boots,1968,2.5
55,Troppo belli,2005,2.5
56,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964,2.5
57,Uchu Kaisoku-sen,1961,2.5
58,United Passions,2014,2.5
59,Zaat,1971,2.5
60,Chairman of the Board,1998,2.5
61,Lawnmower Man 2: Beyond Cyberspace,1996,2.5
62,The Skydivers,1963,2.5
63,The Maize: The Movie,2004,2.5
64,Çilgin Dersane,2007,2.5
65,Baby Geniuses,1999,2.5
66,Soultaker,1990,2.6
67,The Touch of Satan,1971,2.6
68,The Oogieloves in the Big Balloon Adventure,2012,2.6
69,Ator 2 - L'invincibile Orion,1982,2.6
70,Yûsei ôji,1959,2.6
71,Simon Sez,1999,2.6
72,Santa Claus Conquers the Martians,1964,2.6
73,Santa with Muscles,1996,2.6
74,Kyaa Kool Hain Hum 3,2016,2.6
75,Tees Maar Khan,2010,2.6
76,"The Barbaric Beast of Boggy Creek, Part II",1984,2.6
77,Zombie Nightmare,1987,2.6
78,"Car 54, Where Are You?",1994,2.7
79,Fat Slags,2004,2.7
80,Dis - en historie om kjærlighet,1995,2.7
81,Santa Claus,1959,2.7
82,Mitchell,1975,2.7
83,Ed,1996,2.7
84,Breaking Wind,2012,2.7
85,Ein Toter hing im Netz,1960,2.7
86,La momia azteca contra el robot humano,1958,2.7
87,Laserblast,1978,2.7
88,Meet the Spartans,2008,2.7
89,Dragonball Evolution,2009,2.7
90,I Accuse My Parents,1944,2.7
91,Shark: Rosso nell'oceano,1984,2.7
92,Survival Island,2002,2.7
93,Theodore Rex,1995,2.7
94,Time Chasers,1994,2.7
95,It's Pat,1994,2.7
96,Troll 2,1990,2.8
97,Date Movie,2006,2.8
98,The Bat People,1974,2.8
99,Warrior of the Lost World,1983,2.8
100,In the Mix,2005,2.8
