rank,name,year,rating
1,Anand,1971,            8.8    
2,Anbe Sivam,2003,            8.7    
3,Drishyam,2013,            8.7    
4,Nayakan,1987,            8.7    
5,Andaz Apna Apna,1994,            8.6    
6,Gol Maal,1979,            8.6    
7,Drishyam,2015,            8.6    
8,Black Friday,2004,            8.5    
9,Hera Pheri,2000,            8.5    
10,Taare Zameen Par,2007,            8.5    
11,Jaane Bhi Do Yaaro,1983,            8.5    
12,Thani Oruvan,2015,            8.5    
13,Sholay,1975,            8.4    
14,A Wednesday,2008,            8.4    
15,Thalapathi,1991,            8.4    
16,3 Idiots,2009,            8.4    
17,Guide,1965,            8.4    
18,Chupke Chupke,1975,            8.4    
19,Munna Bhai M.B.B.S.,2003,            8.4    
20,Pyaasa,1957,            8.4    
21,Rang De Basanti,2006,            8.4    
22,Chak De! India,2007,            8.3    
23,Pather Panchali,1955,            8.3    
24,Khosla Ka Ghosla!,2006,            8.3    
25,Udaan,2010,            8.3    
26,Talvar,2015,            8.3    
27,Kannathil Muthamittal,2002,            8.3    
28,Queen,2013,            8.3    
29,"Swades: We, the People",2004,            8.3    
30,Jigarthanda,2014,            8.3    
31,Athadu,2005,            8.3    
32,Gangs of Wasseypur,2012,            8.3    
33,Paan Singh Tomar,2012,            8.3    
34,Mughal-E-Azam,1960,            8.2    
35,Airlift,2016,            8.2    
36,Bhaag Milkha Bhaag,2013,            8.2    
37,Sairat,2016,            8.2    
38,Angoor,1982,            8.2    
39,Black,2005,            8.2    
40,Jo Jeeta Wohi Sikandar,1992,            8.2    
41,Shahid,2012,            8.2    
42,Soodhu Kavvum,2013,            8.2    
43,Dilwale Dulhania Le Jayenge,1995,            8.2    
44,OMG: Oh My God!,2012,            8.2    
45,Lucia,2013,            8.2    
46,Kahaani,2012,            8.2    
47,Dil Chahta Hai,2001,            8.2    
48,Ulidavaru Kandanthe,2014,            8.2    
49,Satya,1998,            8.2    
50,RangiTaranga,2015,            8.2    
51,PK,2014,            8.2    
52,Haider,2014,            8.2    
53,Maqbool,2003,            8.2    
54,Lagaan: Once Upon a Time in India,2001,            8.2    
55,Premam,2015,            8.1    
56,Bangalore Days,2014,            8.1    
57,Baasha,1995,            8.1    
58,Ustad Hotel,2012,            8.1    
59,Iqbal,2005,            8.1    
60,Roja,1992,            8.1    
61,Apur Sansar,1959,            8.1    
62,Charulata,1964,            8.1    
63,Lage Raho Munna Bhai,2006,            8.1    
64,Barfi!,2012,            8.1    
65,Sarfarosh,1999,            8.1    
66,Bommarillu,2006,            8.1    
67,The Legend of Bhagat Singh,2002,            8.1    
68,Aparajito,1956,            8.1    
69,Omkara,2006,            8.1    
70,Masaan,2015,            8.1    
71,Ugly,2013,            8.1    
72,Zindagi Na Milegi Dobara,2011,            8.1    
73,Mudhalvan,1999,            8.1    
74,Bahubali: The Beginning,2015,            8.1    
75,Indian,1996,            8.1    
76,Deewaar,1975,            8.1    
77,Dev.D,2009,            8.1    
78,Gulaal,2009,            8.1    
79,Anniyan,2005,            8.1    
80,Manjhi: The Mountain Man,2015,            8.1    
81,Jalsaghar,1958,            8.0    
82,Padosan,1968,            8.0    
83,Mother India,1957,            8.0    
84,Company,2002,            8.0    
85,Ship of Theseus,2012,            8.0    
86,Bumbai,1995,            8.0    
87,Kabhi Haan Kabhi Naa,1994,            8.0    
88,Kal Ho Naa Ho,2003,            8.0    
89,Vishwaroopam,2013,            8.0    
90,Manam,2014,            8.0    
91,Okkadu,2003,            8.0    
92,Bajrangi Bhaijaan,2015,            8.0    
93,Special Chabbis,2013,            8.0    
94,Baby,2015,            8.0    
95,Jab We Met,2007,            8.0    
96,Ankhon Dekhi,2013,            8.0    
97,Vaastav: The Reality,1999,            8.0    
98,Hey Ram,2000,            8.0    
99,Dor,2006,            7.9    
100,My Name Is Khan,2010,            7.9    
101,Pizza,2012,            7.9    
102,Hazaaron Khwaishein Aisi,2003,            7.9    
103,Johnny Gaddaar,2007,            7.9    
104,Lakshya,2004,            7.9    
105,1 - Nenokkadine,2014,            7.9    
106,Pokiri,2006,            7.9    
107,Udta Punjab,2016,            7.9    
108,Darr,1993,            7.9    
109,Ab Tak Chhappan,2004,            7.9    
110,Unnaipol Oruvan,2009,            7.9    
111,Mr. and Mrs. Iyer,2002,            7.9    
112,Mera Naam Joker,1970,            7.9    
113,Ugramm,2014,            7.9    
114,Gangaajal,2003,            7.9    
115,Deiva Thirumagal,2011,            7.9    
116,Neerja,2016,            7.9    
117,Vaaranam Aayiram,2008,            7.9    
118,Rock On!!,2008,            7.8    
119,English Vinglish,2012,            7.8    
120,Veer-Zaara,2004,            7.8    
121,Vettaiyaadu Vilaiyaadu,2006,            7.8    
122,Kapoor & Sons,2016,            7.8    
123,Eega,2012,            7.8    
124,Border,1997,            7.8    
125,24,2016,            7.8    
126,Don,1978,            7.8    
127,Oye Lucky! Lucky Oye!,2008,            7.8    
128,Stanley Ka Dabba,2011,            7.8    
129,Madaari,2016,            7.8    
130,Vicky Donor,2012,            7.8    
131,Dasvidaniya,2008,            7.8    
132,Mr India,1987,            7.8    
133,Baazigar,1993,            7.8    
134,Kuch Kuch Hota Hai,1998,            7.8    
135,Dabba,2013,            7.8    
136,Mumbai Meri Jaan,2008,            7.8    
137,Samsara,2001,            7.8    
138,Pyaar Ka Punchnama,2011,            7.8    
139,Agneepath,1990,            7.8    
140,Earth,1998,            7.8    
141,Manorama Six Feet Under,2007,            7.7    
142,Guru,2007,            7.7    
143,Nayak: The Real Hero,2001,            7.7    
144,Tanu Weds Manu Returns,2015,            7.7    
145,Madras Cafe,2013,            7.7    
146,Dil Se..,1998,            7.7    
147,Aamir,2008,            7.7    
148,Saala Khadoos,2016,            7.7    
149,Ko,2011,            7.7    
150,Ghilli,2004,            7.7    
151,Sarkar,2005,            7.7    
152,Uppi 2,2015,            7.7    
153,Kaththi,2014,            7.7    
154,Bheja Fry,2007,            7.7    
155,Detective Byomkesh Bakshy!,2015,            7.6    
156,Kai po che!,2013,            7.6    
157,Ek Hasina Thi,2004,            7.6    
158,Velaiyilla Pattathari,2014,            7.6    
159,Magadheera,2009,            7.6    
160,Khaleja,2010,            7.6    
161,Hum Aapke Hain Koun...!,1994,            7.6    
162,Jodhaa Akbar,2008,            7.6    
163,Socha Na Tha,2005,            7.6    
164,Do Dooni Chaar,2010,            7.6    
165,Delhi Belly,2011,            7.6    
166,Qayamat Se Qayamat Tak,1988,            7.6    
167,Rockstar,2011,            7.6    
168,Devdas,2002,            7.6    
169,Hum Dil De Chuke Sanam,1999,            7.6    
170,Wake Up Sid,2009,            7.6    
171,Highway,2014,            7.6    
172,Aankhen,2002,            7.6    
173,Raanjhanaa,2013,            7.6    
174,Thuppakki,2012,            7.6    
175,Piku,2015,            7.6    
176,Amar Akbar Anthony,1977,            7.5    
177,Rangeela,1995,            7.5    
178,Hungama,2003,            7.5    
179,Khakee,2004,            7.5    
180,Jaane Tu... Ya Jaane Na,2008,            7.5    
181,Gunda,1998,            7.5    
182,Dookudu,2011,            7.5    
183,Rocket Singh: Salesman of the Year,2009,            7.5    
184,Phas Gaye Re Obama,2010,            7.5    
185,Seethamma Vakitlo Sirimalle Chettu,2013,            7.5    
186,Nanban,2012,            7.5    
187,Mankatha,2011,            7.5    
188,Raman Raghav 2.0,2016,            7.5    
189,Yeh Saali Zindagi,2011,            7.5    
190,Peepli (Live),2010,            7.5    
191,Maine Pyar Kiya,1989,            7.5    
192,Badlapur,2015,            7.5    
193,Guzaarish,2010,            7.5    
194,Ghajini,2005,            7.5    
195,Srimanthudu,2015,            7.5    
196,Yuva,2004,            7.5    
197,Chillar Party,2011,            7.5    
198,Kabhi Khushi Kabhie Gham...,2001,            7.5    
199,Kaminey,2009,            7.5    
200,Dum Laga Ke Haisha,2015,            7.5    
201,Baghban,2003,            7.5    
202,Rehnaa Hai Terre Dil Mein,2001,            7.5    
203,Hum Hain Rahi Pyar Ke,1993,            7.5    
204,Sivaji,2007,            7.4    
205,Nannaku Prematho,2016,            7.4    
206,Khiladi,1992,            7.4    
207,Pyaar Ka Punchnama 2,2015,            7.4    
208,Chachi 420,1997,            7.4    
209,Once Upon a Time in Mumbaai,2010,            7.4    
210,Monsoon Wedding,2001,            7.4    
211,Ghulam,1998,            7.4    
212,Life in a Metro,2007,            7.4    
213,Holiday,2014,            7.4    
214,Page 3,2005,            7.4    
215,Ishqiya,2010,            7.4    
216,Mardaani,2014,            7.4    
217,Lootera,2013,            7.4    
218,i,2015,            7.3    
219,Band Baaja Baaraat,2010,            7.3    
220,Shaitan,2011,            7.3    
221,Parineeta,2005,            7.3    
222,Golmaal: Fun Unlimited,2006,            7.3    
223,Ek Chalis Ki Last Local,2007,            7.3    
224,Rustom,2016,            7.3    
225,Ghajini,2008,            7.3    
226,Billa,2007,            7.3    
227,Saajan,1991,            7.3    
228,Shanghai,2012,            7.3    
229,Te3n,2016,            7.3    
230,Namastey London,2007,            7.3    
231,Tere Bin Laden,2010,            7.3    
232,D-Day,2013,            7.3    
233,Taxi No. 9 2 11: Nau Do Gyarah,2006,            7.2    
234,Ayan,2009,            7.2    
235,Talaash,2012,            7.2    
236,Fan,2016,            7.2    
237,Bhool Bhulaiyaa,2007,            7.2    
238,Jolly LLB,2013,            7.2    
239,Race Gurram,2014,            7.2    
240,No One Killed Jessica,2011,            7.2    
241,Gabbar is Back,2015,            7.2    
242,Arya 2,2009,            7.2    
243,Pokkiri,2007,            7.2    
244,Atharintiki Daaredi,2013,            7.2    
245,Yennai Arindhaal,2015,            7.2    
246,Chaar Sahibzaade,2014,            7.2    
247,Fanaa,2006,            7.2    
248,Dedh Ishqiya,2014,            7.2    
249,Sanam Teri Kasam,2016,            7.2    
250,Temper,2015,            7.2    
