rank,name,year,rating
1,Band of Brothers,2001,9.5
2,Planet Earth,2006,9.5
3,Breaking Bad,2008,9.4
4,Game of Thrones,2011,9.4
5,The Wire,2002,9.4
6,Cosmos: A Spacetime Odyssey,2014,9.3
7,Rick and Morty,2013,9.2
8,Cosmos,1980,9.2
9,The Sopranos,1999,9.2
10,The Civil War,1990,9.2
11,Sherlock,2010,9.2
12,The World at War,1973,9.2
13,Life,2009,9.1
14,Avatar: The Last Airbender,2005,9.1
15,Last Week Tonight with John Oliver,2014,9.1
16,Firefly,2002,9.1
17,Human Planet,2011,9.1
18,True Detective,2014,9.1
19,Dekalog,1989,9.1
20,Hagane no renkinjutsushi,2009,9
21,The Twilight Zone,1959,9
22,The Blue Planet,2001,9
23,Fargo,2014,9
24,Frozen Planet,2011,9
25,Stranger Things,2016,9
26,Batman: The Animated Series,1992,9
27,TVF Pitchers,2015,9
28,Death Note: Desu nôto,2006,9
29,Kaubôi bibappu,1998,9
30,Pride and Prejudice,1995,9
31,One Punch Man: Wanpanman,2015,9
32,House of Cards,2013,9
33,Arrested Development,2003,8.9
34,Sarabhai vs Sarabhai,2004,8.9
35,Das Boot,1985,8.9
36,Monty Python's Flying Circus,1969,8.9
37,Over the Garden Wall,2014,8.9
38,Twin Peaks,1990,8.9
39,Seinfeld,1989,8.9
40,"I, Claudius",1976,8.9
41,The Night Of,2016,8.9
42,Friends,1994,8.9
43,Narcos,2015,8.9
44,Freaks and Geeks,1999,8.9
45,Only Fools and Horses....,1981,8.9
46,Rome,2005,8.8
47,Making a Murderer,2015,8.8
48,Blackadder Goes Forth,1989,8.8
49,Hunter x Hunter,2011,8.8
50,Fawlty Towers,1975,8.8
51,The Simpsons,1989,8.8
52,Gravity Falls,2012,8.8
53,The Return of Sherlock Holmes,1986,8.8
54,Oz,1997,8.8
55,The Jinx: The Life and Deaths of Robert Durst,2015,8.8
56,Horace and Pete,2016,8.8
57,Black Mirror,2011,8.8
58,From the Earth to the Moon,1998,8.8
59,Dragon Ball Z,1996,8.8
60,South Park,1997,8.8
61,Top Gear,2002,8.7
62,Long Way Round,2004,8.7
63,Archer,2009,8.7
64,Dragon Ball Z: Doragon bôru zetto,1989,8.7
65,House M.D.,2004,8.7
66,Steins;Gate,2011,8.7
67,Six Feet Under,2001,8.7
68,It's Always Sunny in Philadelphia,2005,8.7
69,Daredevil,2015,8.7
70,North & South,2004,8.7
71,Chappelle's Show,2003,8.7
72,Nathan for You,2013,8.7
73,Shingeki no kyojin,2013,8.7
74,The Office,2005,8.7
75,Deadwood,2004,8.7
76,Peaky Blinders,2013,8.7
77,Better Call Saul,2015,8.7
78,Dexter,2006,8.7
79,The Adventures of Sherlock Holmes,1984,8.7
80,Lonesome Dove,1989,8.7
81,The West Wing,1999,8.7
82,The Daily Show,1996,8.7
83,Battlestar Galactica,2004,8.7
84,The Thick of It,2005,8.7
85,The X Files,1993,8.7
86,Black-Adder II,1986,8.7
87,The Shield,2002,8.7
88,Wan pîsu: One Piece,1999,8.7
89,Mr. Robot,2015,8.7
90,QI,2003,8.7
91,Curb Your Enthusiasm,2000,8.7
92,Doctor Who,2005,8.7
93,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,8.7
94,Through the Wormhole,2010,8.7
95,Black Adder the Third,1987,8.6
96,Kenpû denki beruseruku,1997,8.6
97,Spaced,1999,8.6
98,Mystery Science Theater 3000,1988,8.6
99,Brass Eye,1997,8.6
100,Kôdo giasu: Hangyaku no rurûshu,2006,8.6
101,Downton Abbey,2010,8.6
102,Hagane no renkinjutsushi,2003,8.6
103,Shameless,2011,8.6
104,Battlestar Galactica,2003,8.6
105,Star Trek: The Next Generation,1987,8.6
106,Yes Minister,1980,8.6
107,Louie,2010,8.6
108,Generation Kill,2008,8.6
109,Impractical Jokers,2011,8.6
110,Adventure Time with Finn & Jake,2010,8.6
111,Ash vs Evil Dead,2015,8.6
112,John Adams,2008,8.6
113,Mad Men,2007,8.6
114,House of Cards,1990,8.6
115,Dr. Horrible's Sing-Along Blog,2008,8.6
116,Flight of the Conchords,2007,8.6
117,Samurai chanpurû,2004,8.6
118,Young Justice,2010,8.6
119,Parks and Recreation,2009,8.6
120,Father Ted,1995,8.6
121,Friday Night Lights,2006,8.6
122,The Bugs Bunny Show,1960,8.6
123,Justified,2010,8.6
124,Dragon Ball: Doragon bôru,1986,8.6
125,Justice League,2001,8.6
126,Dragon Ball,1995,8.6
127,The Colbert Report,2005,8.6
128,Spartacus: Gods of the Arena,2011,8.6
129,Boardwalk Empire,2010,8.6
130,Alfred Hitchcock Presents,1955,8.6
131,The Office,2001,8.6
132,Kardes Payi,2014,8.6
133,Monster,2004,8.6
134,Shin Seiki Evangerion,1995,8.6
135,Gomorra - La serie,2014,8.6
136,Coupling,2000,8.6
137,Homicide: Life on the Street,1993,8.6
138,Bron/Broen,2011,8.6
139,The Angry Video Game Nerd,2004,8.6
140,Whose Line Is It Anyway?,1998,8.6
141,The Newsroom,2012,8.6
142,Peep Show,2003,8.6
143,The Prisoner,1967,8.6
144,Rurôni Kenshin -Meiji kenkaku romantan,1996,8.6
145,Suits,2011,8.5
146,The New Batman Adventures,1997,8.5
147,Luther,2010,8.5
148,The Legend of Korra,2012,8.5
149,The Venture Bros.,2003,8.5
150,Vikings,2013,8.5
151,Agatha Christie's Poirot,1989,8.5
152,The IT Crowd,2006,8.5
153,Black Books,2000,8.5
154,Mr. Bean,1990,8.5
155,I'm Alan Partridge,1997,8.5
156,Hannibal,2013,8.5
157,Futurama,1999,8.5
158,Spartacus: Blood and Sand,2010,8.5
159,Kôkaku kidôtai: Stand Alone Complex,2002,8.5
160,Jesus of Nazareth,1977,8.5
161,Leyla ile Mecnun,2011,8.5
162,Sons of Anarchy,2008,8.5
163,Mushishi,2005,8.5
164,American Crime Story,2016,8.5
165,The Knick,2014,8.5
166,Garth Marenghi's Darkplace,2004,8.5
167,Silicon Valley,2014,8.5
168,Wentworth,2013,8.5
169,Police Squad!,1982,8.5
170,Community,2009,8.5
171,Carnivàle,2003,8.5
172,Modern Family,2009,8.5
173,Isler Güçler,2012,8.5
174,Permanent Roommates,2014,8.5
175,State of Play,2003,8.5
176,X-Men,1992,8.5
177,Behzat Ç.: Bir Ankara Polisiyesi,2010,8.5
178,Jeeves and Wooster,1990,8.5
179,Entourage,2004,8.5
180,Scener ur ett äktenskap,1973,8.5
