title,url,img,lines,author
GENEROSITY,/inspirational-quotes/5407-the-best-thing-to-give-to-your-enemy-is,http://quotes.values.com/quote_artwork/5407/medium/20161116_wednesday_quote.jpg?1478909818,"The best thing to give to your enemy is forgiveness; to an opponent, tolerance; to a friend, your heart; to your child, a good example; to a father, deference; to your mother, conduct that will make her proud of you; to yourself, respect; to all men, charity.",Benjamin Franklin
GENEROSITY,/inspirational-quotes/7565-generosity-consists-not-the-sum-given-but-the,http://quotes.values.com/quote_artwork/7565/medium/20161115_tuesday_quote.jpg?1478909784,"Generosity consists not the sum given, but the manner in which it is bestowed.",Mohandas Karamchand Gandhi
GENEROSITY,/inspirational-quotes/5915-the-way-you-get-meaning-into-your-life-is-to,http://quotes.values.com/quote_artwork/5915/medium/20161114_monday_quote.jpg?1478909744,"The way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you, and devote yourself to creating something that gives you purpose and meaning.",Mitch Albom
HOPE,/inspirational-quotes/6941-hope-lies-in-dreams-in-imagination-and-in-the,http://quotes.values.com/quote_artwork/6941/medium/20161111_friday_quote.jpg?1478299601,"Hope lies in dreams, in imagination and in the courage of those who dare to make dreams into reality.",Jonas Salk
HOPE,/inspirational-quotes/7564-they-say-a-person-needs-just-three-things-to-be,http://quotes.values.com/quote_artwork/7564/medium/20161110_thursday_quote.jpg?1478298897,"They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.",Tom Bodett
HOPE,/inspirational-quotes/7562-its-really-a-wonder-that-i-havent-dropped-all,http://quotes.values.com/quote_artwork/7562/medium/20161109_wednesday_quote.jpg?1478298699,"It's really a wonder that I haven't dropped all my ideals, because they seem so absurd and impossible to carry out. Yet I keep them, because in spite of everything, I still believe that people are really good at heart.",Anne Frank
HOPE,/inspirational-quotes/7460-you-may-say-im-a-dreamer-but-im-not-the-only,http://quotes.values.com/quote_artwork/7460/medium/20161108_tuesday_quote.jpg?1478299674,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon
HOPE,/inspirational-quotes/7563-learn-from-yesterday-live-for-today-hope-for,http://quotes.values.com/quote_artwork/7563/medium/20161107_monday_quote.jpg?1478297151,"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.",Albert Einstein
COMMON GROUND,/inspirational-quotes/3463-we-all-live-with-the-objective-of-being-happy,http://quotes.values.com/quote_artwork/3463/medium/20161104_friday_quote.jpg?1477687195,We all live with the objective of being happy; our lives are all different and yet the same.,Anne Frank
COMMON GROUND,/inspirational-quotes/6974-if-you-dont-know-the-guy-on-the-other-side-of,http://quotes.values.com/quote_artwork/6974/medium/20161103_thursday_quote.jpg?1477687139,"If you don't know the guy on the other side of the world, love him anyway because he's just like you. He has the same dreams, the same hopes and fears. It's one world, pal. We're all neighbors.
",Frank Sinatra
COMMON GROUND,/inspirational-quotes/7560-touch-the-earth-speak-of-love-walk-on-common,http://quotes.values.com/quote_artwork/7560/medium/20161102_wednesday_quote.jpg?1477687072,"Touch the earth, speak of love, walk on common ground.",Steven Van Zandt
COMMON GROUND,/inspirational-quotes/4406-our-similarities-bring-us-to-a-common-ground,http://quotes.values.com/quote_artwork/4406/medium/20161101_tuesday_quote.jpg?1477687017,Our similarities bring us to a common ground; our differences allow us to be fascinated by each other.,Tom Robbins
COMMON GROUND,/inspirational-quotes/4909-humankind-has-not-woven-the-web-of-life-we-are,http://quotes.values.com/quote_artwork/4909/medium/20161031_monday_quote.jpg?1477686952,"Humankind has not woven the web of life. We are but one thread within it. Whatever we do to the web, we do to ourselves. All things are bound together. All things connect.",Chief Seattle 
RESPECT,/inspirational-quotes/3239-we-dont-need-to-share-the-same-opinions-as,http://quotes.values.com/quote_artwork/3239/medium/20161028_friday_quote_alternate.jpg?1477084371,"We don't need to share the same opinions as others, but we need to be respectful.",Taylor Swift
RESPECT,/inspirational-quotes/4404-in-recognizing-the-humanity-of-our-fellow,http://quotes.values.com/quote_artwork/4404/medium/20161027_thursday_quote.jpg?1477073084,"In recognizing the humanity of our fellow beings, we pay ourselves the highest tribute.",Thurgood Marshall
